,method,rel_dev_obj,rel_dev_cstr,time,F_hat,rep,F_check
0,bigM (direct),0.1,0.1,193.80879878997803,-9.188126949440086,1,-9.188126949440086
1,ULO,0.1,0.1,7.928512096405029,-9.1881165552842,0,-9.188116555284202
2,ULO,0.1,0.1,3.3167028427124023,-9.1881165552842,1,-9.188116555284202
3,ULO,0.1,0.1,3.2717769145965576,-9.1881165552842,2,-9.188116555284202
4,ULO,0.1,0.1,3.278294801712036,-9.1881165552842,3,-9.188116555284202
5,ULO,0.1,0.1,3.2843399047851562,-9.1881165552842,4,-9.188116555284202
6,ULO,0.1,0.1,3.2564001083374023,-9.1881165552842,5,-9.188116555284202
7,ULO,0.1,0.1,3.237401247024536,-9.1881165552842,6,-9.188116555284202
8,ULO,0.1,0.1,3.283737897872925,-9.1881165552842,7,-9.188116555284202
9,ULO,0.1,0.1,3.7625982761383057,-9.1881165552842,8,-9.188116555284202
10,ULO,0.1,0.1,3.2637782096862793,-9.1881165552842,9,-9.188116555284202
11,ES,0.1,0.1,250.4699468612671,-9.1881165552842,1,-9.1881165552842
12,bigM (direct),0.1,0.5,492.8568398952484,-3.751911522419234,1,-3.751911522419234
13,ULO,0.1,0.5,8.254284143447876,-3.7519136634917953,0,-3.751913663491796
14,ULO,0.1,0.5,4.616337060928345,-3.7519136634917953,1,-3.751913663491796
15,ULO,0.1,0.5,3.9510560035705566,-3.7519136634917953,2,-3.751913663491796
16,ULO,0.1,0.5,3.899433135986328,-3.7519136634917953,3,-3.751913663491796
17,ULO,0.1,0.5,3.912250280380249,-3.7519136634917953,4,-3.751913663491796
18,ULO,0.1,0.5,3.9447309970855713,-3.7519136634917953,5,-3.751913663491796
19,ULO,0.1,0.5,4.6894519329071045,-3.7519136634917953,6,-3.751913663491796
20,ULO,0.1,0.5,3.91679310798645,-3.7519136634917953,7,-3.751913663491796
21,ULO,0.1,0.5,3.9110419750213623,-3.7519136634917953,8,-3.751913663491796
22,ULO,0.1,0.5,3.9399232864379883,-3.7519136634917953,9,-3.751913663491796
23,ES,0.1,0.5,238.85056257247922,-3.7519136634917953,1,-3.7519136634917953
24,bigM (direct),0.1,2.0,505.78548669815063,-4.41414934083879,1,-4.775090506397729
25,ULO,0.1,2.0,13.597731113433838,-4.414145944814905,0,-4.414145944814906
26,ULO,0.1,2.0,8.506661891937256,-4.414145944814905,1,-4.414145944814906
27,ULO,0.1,2.0,8.673957824707031,-4.414145944814905,2,-4.414145944814906
28,ULO,0.1,2.0,6.988457918167114,-4.414145944814905,3,-4.414145944814906
29,ULO,0.1,2.0,7.749585866928101,-4.414145944814905,4,-4.414145944814906
30,ULO,0.1,2.0,7.24672269821167,-4.414145944814905,5,-4.414145944814906
31,ULO,0.1,2.0,5.818883180618286,-4.414145944814905,6,-4.414145944814906
32,ULO,0.1,2.0,5.33758807182312,-4.414145944814905,7,-4.414145944814906
33,ULO,0.1,2.0,5.0788679122924805,-4.414145944814905,8,-4.414145944814906
34,ULO,0.1,2.0,4.940353870391846,-4.414145944814905,9,-4.414145944814906
35,ES,0.1,2.0,246.4114785194397,-4.414145944814905,1,-4.414145944814905
36,bigM (direct),0.5,0.1,507.30224680900574,-9.63120420214587,1,-9.72168063590523
37,ULO,0.5,0.1,8.584167242050171,-9.63120401332606,0,-9.63120401332606
38,ULO,0.5,0.1,7.045143127441406,-9.63120401332606,1,-9.63120401332606
39,ULO,0.5,0.1,8.410612106323242,-9.63120401332606,2,-9.63120401332606
40,ULO,0.5,0.1,3.776031017303467,-9.63120401332606,3,-9.64083517731158
41,ULO,0.5,0.1,4.169700860977173,-9.63120401332606,4,-9.64083517311545
42,ULO,0.5,0.1,2.8516788482666016,-9.63120401332606,5,-9.63120401332606
43,ULO,0.5,0.1,8.245339155197144,-9.63120401332606,6,-9.63120401332606
44,ULO,0.5,0.1,4.284289836883545,-9.63120401332606,7,-9.640834936750355
45,ULO,0.5,0.1,4.00305700302124,-9.63120401332606,8,-9.640835169073428
46,ULO,0.5,0.1,2.805417776107788,-9.63120401332606,9,-9.63120401332606
47,ES,0.5,0.1,261.05255365371704,-9.63120401332606,1,-9.63120401332606
48,bigM (direct),0.5,0.5,506.20719289779663,-7.109231804543554,1,-7.442035527123015
49,ULO,0.5,0.5,13.980131149291992,-7.103024930225622,0,-7.109390511183835
50,ULO,0.5,0.5,20.56448221206665,-7.109235171421335,1,-7.109235171421336
51,ULO,0.5,0.5,7.352159023284912,-7.103024930225622,2,-7.1093905095126235
52,ULO,0.5,0.5,6.042367935180664,-7.103024930225622,3,-7.1093904954811205
53,ULO,0.5,0.5,21.044843673706055,-7.109235171421335,4,-7.109235171421336
54,ULO,0.5,0.5,20.26986002922058,-7.109235171421335,5,-7.109235171421336
55,ULO,0.5,0.5,21.249958992004395,-7.109235171421335,6,-7.109235171421336
56,ULO,0.5,0.5,20.918776035308838,-7.109235171421335,7,-7.109235171421336
57,ULO,0.5,0.5,23.82001304626465,-7.109235171421335,8,-7.109235171421336
58,ULO,0.5,0.5,20.33727788925171,-7.109235171421335,9,-7.109235171421336
59,ES,0.5,0.5,329.80573177337646,-7.109235171421335,1,-7.109235171421335
60,bigM (direct),0.5,2.0,511.277147769928,-6.796210145838742,1,-8.75926303774666
61,ULO,0.5,2.0,25.621073961257935,-6.796207682869248,0,-6.79620768286925
62,ULO,0.5,2.0,29.500871181488037,-6.796207682869248,1,-6.79620768286925
63,ULO,0.5,2.0,30.14425826072693,-6.796207682869248,2,-6.79620768286925
64,ULO,0.5,2.0,20.333401203155518,-6.796207682869248,3,-6.79620768286925
65,ULO,0.5,2.0,17.456858158111572,-6.796207682869248,4,-6.800816654473715
66,ULO,0.5,2.0,17.4856219291687,-6.796207682869248,5,-6.79620768286925
67,ULO,0.5,2.0,32.624953269958496,-6.796207682869248,6,-6.79620768286925
68,ULO,0.5,2.0,41.4124391078949,-6.796207682869248,7,-6.79620768286925
69,ULO,0.5,2.0,17.269752025604248,-6.796207682869248,8,-6.79620768286925
70,ULO,0.5,2.0,45.74257826805115,-6.796207682869248,9,-6.79620768286925
71,ES,0.5,2.0,270.0741910934448,-6.796207682869248,1,-6.796207682869248
72,bigM (direct),1.0,0.1,156.41273617744446,-14.0500412396839,1,-14.0500412396839
73,ULO,1.0,0.1,16.68921422958374,-14.05002890095578,0,-14.050028900955782
74,ULO,1.0,0.1,10.039323091506958,-14.05002890095578,1,-14.050028900955782
75,ULO,1.0,0.1,3.3270089626312256,-14.05002890095578,2,-14.050028900955782
76,ULO,1.0,0.1,3.4360971450805664,-14.05002890095578,3,-14.051314031639768
77,ULO,1.0,0.1,3.68113374710083,-14.05002890095578,4,-14.051314185136714
78,ULO,1.0,0.1,3.5878710746765137,-14.05002890095578,5,-14.050028900955782
79,ULO,1.0,0.1,3.913450002670288,-14.05002890095578,6,-14.051313970225884
80,ULO,1.0,0.1,4.336016893386841,-14.05002890095578,7,-14.051314047449747
81,ULO,1.0,0.1,3.617814779281616,-14.05002890095578,8,-14.050028900955782
82,ULO,1.0,0.1,3.684937000274658,-14.05002890095578,9,-14.051314111369823
83,ES,1.0,0.1,273.37311029434204,-14.05002890095578,1,-14.05002890095578
84,bigM (direct),1.0,0.5,506.5655539035797,-10.54641926800802,1,-12.140710678846768
85,ULO,1.0,0.5,48.94601607322693,-10.546411258389664,0,-10.546411258389664
86,ULO,1.0,0.5,26.257359981536865,-10.546411258389664,1,-10.546411258389664
87,ULO,1.0,0.5,60.909159898757935,-10.546411258389664,2,-10.546411258389664
88,ULO,1.0,0.5,27.694262981414795,-10.546411258389664,3,-10.546411258389664
89,ULO,1.0,0.5,39.481083154678345,-10.546411258389664,4,-10.546411258389664
90,ULO,1.0,0.5,38.86769914627075,-10.546411258389664,5,-10.546411258389664
91,ULO,1.0,0.5,20.8974609375,-10.546411258389664,6,-10.546411258389664
92,ULO,1.0,0.5,19.601655960083008,-10.546411258389664,7,-10.546411258389664
93,ULO,1.0,0.5,21.407624006271362,-10.546411258389664,8,-10.546411258389664
94,ULO,1.0,0.5,25.3939950466156,-10.546411258389664,9,-10.546411258389664
95,ES,1.0,0.5,278.3396244049072,-10.546411258389664,1,-10.546411258389664
96,bigM (direct),1.0,2.0,507.3211901187897,-4.871140981844595,1,-7.13069325383763
97,ULO,1.0,2.0,132.82280087471008,-4.871139091253307,0,-4.871139091253307
98,ULO,1.0,2.0,108.37754511833191,-4.871139091253307,1,-4.871139091253307
99,ULO,1.0,2.0,69.6903018951416,-4.871139091253307,2,-4.871139091253307
100,ULO,1.0,2.0,70.82361602783203,-4.871139091253307,3,-4.871139091253307
101,ULO,1.0,2.0,96.89272809028625,-4.871139091253307,4,-4.874426966450923
102,ULO,1.0,2.0,104.26862001419067,-4.871139091253307,5,-4.871139091253307
103,ULO,1.0,2.0,68.14711093902588,-4.871139091253307,6,-4.8767134070037335
104,ULO,1.0,2.0,57.729548931121826,-4.871139091253307,7,-4.871139091253307
105,ULO,1.0,2.0,99.26561260223389,-4.871139091253307,8,-4.871139091253307
106,ULO,1.0,2.0,59.10461711883545,-4.871139091253307,9,-4.8736838121467585
107,ES,1.0,2.0,220.69942474365237,-4.871139091253307,1,-4.871139091253307
108,bigM (direct),5.0,0.1,502.5081419944763,-45.48970342984387,1,-45.48970342984387
109,ULO,5.0,0.1,12.242623090744019,-45.48969051201044,0,-45.48969051201044
110,ULO,5.0,0.1,7.028785943984985,-45.48969051201044,1,-45.48969051201044
111,ULO,5.0,0.1,7.4743499755859375,-45.48969051201044,2,-45.48969051201044
112,ULO,5.0,0.1,6.145833969116211,-45.48969051201044,3,-45.48969051201044
113,ULO,5.0,0.1,6.198986053466797,-45.48969051201044,4,-45.48969051201044
114,ULO,5.0,0.1,2.4068973064422607,-45.48969051201044,5,-45.48969051201044
115,ULO,5.0,0.1,6.896330118179321,-45.48969051201044,6,-45.48969051201044
116,ULO,5.0,0.1,6.179527044296265,-45.48969051201044,7,-45.48969051201044
117,ULO,5.0,0.1,7.4176599979400635,-45.48969051201044,8,-45.48969051201044
118,ULO,5.0,0.1,6.171686887741089,-45.48969051201044,9,-45.48969051201044
119,ES,5.0,0.1,263.8856840133667,-45.48969051201044,1,-45.48969051201044
120,bigM (direct),5.0,0.5,505.88335394859314,-41.83495254349168,1,-49.14196530752872
121,ULO,5.0,0.5,69.95788216590881,-41.834937165449915,0,-41.834937165449915
122,ULO,5.0,0.5,122.0696759223938,-41.834937165449915,1,-41.834937165449915
123,ULO,5.0,0.5,65.34368300437927,-41.834937165449915,2,-41.834937165449915
124,ULO,5.0,0.5,80.79620122909546,-41.834937165449915,3,-41.834937165449915
125,ULO,5.0,0.5,78.75425815582275,-41.834937165449915,4,-41.834937165449915
126,ULO,5.0,0.5,57.41537809371948,-41.834937165449915,5,-41.834937165449915
127,ULO,5.0,0.5,93.30686902999878,-41.834937165449915,6,-41.834937165449915
128,ULO,5.0,0.5,154.8567533493042,-41.834937165449915,7,-41.834937165449915
129,ULO,5.0,0.5,84.38406133651733,-41.834937165449915,8,-41.834937165449915
130,ULO,5.0,0.5,77.4260401725769,-41.834937165449915,9,-41.834937165449915
131,ES,5.0,0.5,227.58244991302493,-41.834937165449915,1,-41.834937165449915
132,bigM (direct),5.0,2.0,505.9150638580322,-26.552943256611123,1,-48.37321344324313
133,ULO,5.0,2.0,500.15041494369507,-26.552921856602847,0,-26.77512336965812
134,ULO,5.0,2.0,500.15458488464355,-26.552921856602847,1,-26.96227824134523
135,ULO,5.0,2.0,500.6166570186615,-26.552921856602847,2,-26.85037136749142
136,ULO,5.0,2.0,500.2989270687103,-26.552921856602847,3,-26.97139557568167
137,ULO,5.0,2.0,500.1993501186371,-26.552921856602847,4,-27.116793382831755
138,ULO,5.0,2.0,500.11077523231506,-26.552921856602847,5,-26.87324011964211
139,ULO,5.0,2.0,500.1096031665802,-26.552921856602847,6,-26.860679517223442
140,ULO,5.0,2.0,500.0469901561737,-26.552921856602847,7,-26.923082220070658
141,ULO,5.0,2.0,500.37193965911865,-26.552921856602847,8,-26.985821706288817
142,ULO,5.0,2.0,500.7678599357605,-26.552921856602847,9,-27.03048313548284
143,ES,5.0,2.0,229.39882278442383,-26.552921856602847,1,-26.552921856602847
144,bigM (direct),10.0,0.1,506.2142560482025,-69.98900516103281,1,-83.9103471794637
145,ULO,10.0,0.1,48.582635164260864,-69.98900380760973,0,-69.98900380760973
146,ULO,10.0,0.1,19.70849895477295,-69.98900380760973,1,-69.98900380760973
147,ULO,10.0,0.1,27.158245086669922,-69.98900380760973,2,-69.98900380760973
148,ULO,10.0,0.1,12.093123197555542,-69.98900380760973,3,-69.98900380760973
149,ULO,10.0,0.1,22.404547929763794,-69.98900380760973,4,-69.98900380760973
150,ULO,10.0,0.1,22.436959266662598,-69.98900380760973,5,-69.98900380760973
151,ULO,10.0,0.1,22.206093072891235,-69.98900380760973,6,-69.98900380760973
152,ULO,10.0,0.1,14.351356983184814,-69.98900380760973,7,-69.98900380760973
153,ULO,10.0,0.1,25.317678213119507,-69.98900380760973,8,-69.98900380760973
154,ULO,10.0,0.1,16.21015214920044,-69.98900380760973,9,-69.98900380760973
155,ES,10.0,0.1,320.6963038444519,-69.98900380760973,1,-69.98900380760973
156,bigM (direct),10.0,0.5,508.44426012039185,-75.00795508632326,1,-100.29751494282215
157,ULO,10.0,0.5,142.483540058136,-75.00793404519361,0,-75.0079340451936
158,ULO,10.0,0.5,148.71901726722717,-75.00793404519361,1,-75.0079340451936
159,ULO,10.0,0.5,123.18222117424011,-75.00793404519361,2,-75.0079340451936
160,ULO,10.0,0.5,121.99136900901794,-75.00793404519361,3,-75.0079340451936
161,ULO,10.0,0.5,122.31781601905823,-75.00793404519361,4,-75.0079340451936
162,ULO,10.0,0.5,106.07978224754333,-75.00793404519361,5,-75.0079340451936
163,ULO,10.0,0.5,122.89982104301453,-75.00793404519361,6,-75.0079340451936
164,ULO,10.0,0.5,99.80792307853699,-75.00793404519361,7,-75.0079340451936
165,ULO,10.0,0.5,94.92488408088684,-75.00793404519361,8,-75.0079340451936
166,ULO,10.0,0.5,88.96513772010803,-75.00793404519361,9,-75.0079340451936
167,ES,10.0,0.5,307.19788551330566,-75.00793404519361,1,-75.00793404519361
168,bigM (direct),10.0,2.0,507.816339969635,-53.0172539643464,1,-108.33674289937355
169,ULO,10.0,2.0,500.18268489837646,-52.90645013341573,0,-54.90702994075886
170,ULO,10.0,2.0,500.1167368888855,-53.017223468050986,1,-55.1116066545255
171,ULO,10.0,2.0,500.2155051231384,-53.017223468050986,2,-54.43555383446768
172,ULO,10.0,2.0,500.5936510562897,-53.017223468050986,3,-54.55509870783819
173,ULO,10.0,2.0,500.5837330818176,-52.44819960726185,4,-54.97417285704823
174,ULO,10.0,2.0,500.3743259906769,-53.017223468050986,5,-55.165832515853964
175,ULO,10.0,2.0,500.23139786720276,-53.017223468050986,6,-54.77620209516419
176,ULO,10.0,2.0,500.17144298553467,-52.685205494192374,7,-55.279821560925086
177,ULO,10.0,2.0,500.649276971817,-52.90645013341573,8,-54.91443980099814
178,ULO,10.0,2.0,500.09781217575073,-52.50249685917601,9,-55.4092935730825
179,ES,10.0,2.0,228.0411052703857,-52.50249685917601,1,-52.50249685917601
